count, Time, ForceInput_x_T[0], ForceInput_x_T[1], ForceInput_x_T[2], ForceInput_x_T[3], ForceInput_x_T[4], ForceInput_x_T[5]
1,1727834652.6366355,0.0,0.0,0.0,0.0,0.0,0.0
2,1727834652.6372125,0.0,0.0,0.0,0.0,0.0,0.0
3,1727834652.9787505,-227601.26099296787,258626.90340525427,77706.05872857456,97120.73712322002,-133236.65343354893,0.0
4,1727834652.9793723,0.0,0.0,0.0,0.0,0.0,0.0
5,1727834653.1889133,-227912.47511465382,259436.5582906911,78788.89033660378,96879.04304493743,-133483.50225880797,0.0
6,1727834653.189254,-229676.02180420732,257817.2485198174,78892.01715641608,96959.60773769829,-133606.92667143745,0.0
7,1727834653.4002657,0.0,0.0,0.0,0.0,0.0,0.0
8,1727834653.4006302,-229157.33160139745,258279.90845435276,78634.20010688531,96838.760698557,-134594.32197247352,0.0
9,1727834653.6123714,0.0,0.0,0.0,0.0,0.0,0.0
10,1727834653.6128192,-230298.45004757916,257932.91350345121,78737.32692669763,96717.91365941572,-133360.07784617844,0.0
11,1727834653.8222759,-230817.140250389,257817.2485198174,78685.76351679147,97201.3018159809,-132434.3947514572,0.0
12,1727834653.8226838,-230920.878290951,258395.57343798658,79562.34148519608,97604.12527978518,-133174.9412272342,0.0
13,1727834654.0311644,-229157.33160139745,258511.23842162042,80026.4121743515,97040.17243045916,-134038.91211564076,0.0
14,1727834654.0314891,-228327.42727690167,256197.93874894374,79201.39761585303,96274.80784923096,-132989.80460828997,0.0
15,1727834654.2455997,-229676.02180420732,257354.58858528206,78840.45374650994,96879.04304493743,-132249.2581325129,0.0
16,1727834654.2460253,0.0,0.0,0.0,0.0,0.0,0.0
17,1727834654.489088,-229157.33160139745,256660.59868347904,79149.83420594689,97080.45477683959,-133483.50225880797,0.0
18,1727834654.4893708,-229053.59356083546,256313.60373257755,79820.15853472688,97644.40762616564,-133113.22902091945,0.0
19,1727834654.7048013,-228327.42727690167,257238.92360164825,78995.1439762284,97161.01946960045,-133668.6388777522,0.0
20,1727834654.705004,-228431.16531746366,260246.2131761279,78324.8196474484,96798.47835217658,-133668.6388777522,0.0
21,1727834654.9131296,-230090.9739664552,259899.21822522645,78376.38305735454,97322.1488551222,-132619.53137040144,0.0
22,1727834654.9134595,-229572.28376364536,260246.2131761279,78427.9464672607,97241.58416236131,-133545.21446512273,0.0
23,1727834655.124571,-227393.78491184395,260014.8832088603,78067.00259791763,96597.06662027442,-133174.9412272342,0.0
24,1727834655.124824,-227186.30883072,258626.90340525427,78634.20010688531,96033.11377094837,-132928.09240197518,0.0
25,1727834655.3345103,-229261.06964195945,258048.57848708506,78892.01715641608,96476.21958113313,-132372.68254514242,0.0
26,1727834655.33485,-229157.33160139745,259320.89330705724,79201.39761585303,96476.21958113313,-132804.6679893457,0.0
27,1727834655.5450027,-230298.45004757916,260246.2131761279,79871.72194463303,97483.2782406439,-132064.12151356868,0.0
28,1727834655.5453386,-231439.5684937609,259552.22327432493,80438.91945360073,97161.01946960045,-131755.56048199488,0.0
29,1727834655.7547054,-229157.33160139745,258279.90845435276,79407.65125547763,98006.94874358951,-133421.79005249322,0.0
30,1727834655.754998,-229053.59356083546,259089.56333978957,78892.01715641608,97322.1488551222,-133977.19990932598,0.0
31,1727834655.9637823,-229053.59356083546,260014.8832088603,79510.77807528994,96516.50192751354,-133483.50225880797,0.0
32,1727834655.9640546,-229572.28376364536,260940.20307793096,81160.80719228688,96838.760698557,-132989.80460828997,0.0
33,1727834656.17208,-228431.16531746366,259436.5582906911,81160.80719228688,97201.3018159809,-133113.22902091945,0.0
34,1727834656.172335,-228949.85552027353,257817.2485198174,80335.79263378841,96959.60773769829,-133668.6388777522,0.0
35,1727834656.3834877,0.0,0.0,0.0,0.0,0.0,0.0
36,1727834656.3837512,-226460.14254678617,259899.21822522645,81109.24378238073,97483.2782406439,-133236.65343354893,0.0
37,1727834656.6048214,-226356.4045062242,259899.21822522645,81160.80719228688,97926.38405082864,-133792.06329038172,0.0
38,1727834656.6049984,0.0,0.0,0.0,0.0,0.0,0.0
39,1727834656.8141005,-228431.16531746366,259320.89330705724,80387.35604369457,96556.78427389398,-133853.77549669647,0.0
40,1727834656.8143086,-229468.54572308337,260246.2131761279,79510.77807528994,97483.2782406439,-133174.9412272342,0.0
41,1727834657.0277815,-229779.7598447693,260824.5380942971,79923.28535453917,97563.84293340477,-132619.53137040144,0.0
42,1727834657.0282705,-229053.59356083546,260130.54819249408,81006.11696256841,97322.1488551222,-132557.81916408666,0.0
43,1727834657.2403302,-229157.33160139745,260361.87815976175,81831.13152106688,97402.71354788305,-132372.68254514242,0.0
44,1727834657.2405398,-230402.18808814115,261402.8630124663,82656.14607956535,96959.60773769829,-132681.2435767162,0.0
45,1727834657.5027711,-230298.45004757916,260246.2131761279,82759.27289937767,96435.93723475268,-133545.21446512273,0.0
46,1727834657.502961,-229364.80768252138,260246.2131761279,82553.01925975305,96435.93723475268,-133915.4877030112,0.0
47,1727834657.713657,-229053.59356083546,260708.8731106633,82140.51198050381,96838.760698557,-133977.19990932598,0.0
48,1727834657.7138343,0.0,0.0,0.0,0.0,0.0,0.0
49,1727834657.9207377,-227393.78491184395,261634.19297973393,81367.0608319115,96637.34896665484,-132619.53137040144,0.0
50,1727834657.920934,-227186.30883072,260593.20812702944,81676.44129134843,96838.760698557,-133915.4877030112,0.0
51,1727834658.132348,-229676.02180420732,260361.87815976175,80645.17309322534,96879.04304493743,-133051.5168146047,0.0
52,1727834658.132538,-229987.23592589324,260940.20307793096,80748.29991303764,96758.19600579613,-132742.95578303095,0.0
53,1727834658.342936,0.0,0.0,0.0,0.0,0.0,0.0
54,1727834658.3431447,-227912.47511465382,266607.78727598884,82192.07539040997,97442.99589426348,-132187.5459261982,0.0
55,1727834658.5516567,-227808.73707409183,264294.4876033121,82140.51198050381,97040.17243045916,-132742.95578303095,0.0
56,1727834658.5518472,-228534.90335802562,260477.5431433956,82037.3851606915,96798.47835217658,-132249.2581325129,0.0
57,1727834658.7782912,-228742.37943914958,261749.8579633678,82913.96312909613,96879.04304493743,-132989.80460828997,0.0
58,1727834658.7784824,-228534.90335802562,262559.51284880465,82707.70948947151,96717.91365941572,-135026.30741667678,0.0
59,1727834658.9915726,-227808.73707409183,264063.1576360445,82192.07539040997,97161.01946960045,-134470.897559844,0.0
60,1727834658.991874,-229053.59356083546,261981.18793063547,82037.3851606915,96677.6313130353,-133236.65343354893,0.0
61,1727834659.200078,-228223.6892363397,261055.86806156478,81573.31447153611,97120.73712322002,-133730.35108406696,0.0
62,1727834659.2005315,-228949.85552027353,261634.19297973393,82037.3851606915,97040.17243045916,-133792.06329038172,0.0
63,1727834659.416342,-229157.33160139745,263022.17278334,81470.18765172383,96597.06662027442,-133730.35108406696,0.0
64,1727834659.416534,-228949.85552027353,263369.16773424146,81728.00470125457,95952.5490781875,-133977.19990932598,0.0
65,1727834659.623499,-229364.80768252138,262443.8478651708,81676.44129134843,96717.91365941572,-134347.4731472145,0.0
66,1727834659.623692,-228534.90335802562,263022.17278334,81573.31447153611,97523.56058702435,-133792.06329038172,0.0
67,1727834659.8449523,0.0,0.0,0.0,0.0,0.0,0.0
68,1727834659.8454294,-229261.06964195945,264641.4825542136,81470.18765172383,96153.96081008966,-133668.6388777522,0.0
69,1727834660.0599458,-228638.6413985876,262790.8428160723,81109.24378238073,96838.760698557,-133421.79005249322,0.0
70,1727834660.0601451,-228223.6892363397,261518.52799610008,80851.42673284996,97442.99589426348,-132989.80460828997,0.0
71,1727834660.2814777,-229157.33160139745,261749.8579633678,81831.13152106688,97402.71354788305,-133113.22902091945,0.0
72,1727834660.2816722,-229779.7598447693,262328.18288153695,82501.4558498469,96879.04304493743,-132928.09240197518,0.0
73,1727834660.488559,-229468.54572308337,262559.51284880465,81985.82175078534,96758.19600579613,-133174.9412272342,0.0
74,1727834660.4887595,-228846.11747971154,261287.19802883247,81109.24378238073,96879.04304493743,-133545.21446512273,0.0
