count, Time, ForceInput_x_T[0], ForceInput_x_T[1], ForceInput_x_T[2], ForceInput_x_T[3], ForceInput_x_T[4], ForceInput_x_T[5]
1,1727835041.4727902,0.0,0.0,0.0,0.0,0.0,0.0
2,1727835041.473482,-227704.99903352984,258048.57848708506,78995.1439762284,97402.71354788305,-132681.2435767162,0.0
3,1727835042.478233,-228016.21315521575,256429.2687162114,78634.20010688531,97040.17243045916,-133668.6388777522,0.0
4,1727835042.4787989,-229676.02180420732,255619.61383077456,78427.9464672607,96919.32539131786,-133853.77549669647,0.0
5,1727835042.974587,-229364.80768252138,256429.2687162114,78273.25623754223,96758.19600579613,-133915.4877030112,0.0
6,1727835042.9750695,-228846.11747971154,256313.60373257755,78427.9464672607,96717.91365941572,-134285.76094089975,0.0
7,1727835043.428084,0.0,0.0,0.0,0.0,0.0,0.0
8,1727835043.428624,-227704.99903352984,257123.2586180144,78582.63669697917,96798.47835217658,-132928.09240197518,0.0
9,1727835043.881396,-227601.26099296787,258973.89835615575,78995.1439762284,96879.04304493743,-133545.21446512273,0.0
10,1727835043.883574,-227393.78491184395,257238.92360164825,79510.77807528994,96435.93723475268,-132866.38019566046,0.0
11,1727835044.374006,-228223.6892363397,259205.22832342342,78634.20010688531,97322.1488551222,-133360.07784617844,0.0
12,1727835044.3745453,-227186.30883072,258395.57343798658,78479.50987716686,97604.12527978518,-133113.22902091945,0.0
13,1727835044.8676853,0.0,0.0,0.0,0.0,0.0,0.0
14,1727835044.8682256,-229261.06964195945,254578.62897807002,77706.05872857456,97241.58416236131,-133298.3656398637,0.0
15,1727835045.3479793,-228742.37943914958,254115.9690435347,76313.84666110837,96717.91365941572,-133483.50225880797,0.0
16,1727835045.3493097,0.0,0.0,0.0,0.0,0.0,0.0
17,1727835045.8558319,-228742.37943914958,258279.90845435276,78479.50987716686,96838.760698557,-132742.95578303095,0.0
18,1727835045.856364,-228742.37943914958,257123.2586180144,78221.69282763608,96798.47835217658,-132125.83371988343,0.0
19,1727835046.341963,-228119.95119577774,257585.91855254973,78685.76351679147,97201.3018159809,-132928.09240197518,0.0
20,1727835046.3424633,-227393.78491184395,259783.5532415926,79665.4683050084,97120.73712322002,-134532.60976615874,0.0
21,1727835046.8444843,-227704.99903352984,259783.5532415926,78788.89033660378,97120.73712322002,-135334.86844825052,0.0
22,1727835046.844959,-226978.83274959604,258279.90845435276,77706.05872857456,96798.47835217658,-134347.4731472145,0.0
