count, Time, ForceInput_x_T[0], ForceInput_x_T[1], ForceInput_x_T[2], ForceInput_x_T[3], ForceInput_x_T[4], ForceInput_x_T[5]
1,1727834986.709238,0.0,0.0,0.0,0.0,0.0,0.0
2,1727834986.7098,0.0,0.0,0.0,0.0,0.0,0.0
3,1727834987.055612,0.0,0.0,0.0,0.0,0.0,0.0
4,1727834987.0561259,-226667.6186279101,259089.56333978957,79974.84876444533,97241.58416236131,-134100.62432195546,0.0
5,1727834987.2658048,-226771.35666847212,256429.2687162114,79510.77807528994,97483.2782406439,-133113.22902091945,0.0
6,1727834987.2660408,-226460.14254678617,256660.59868347904,79046.70738613456,97362.43120150261,-133236.65343354893,0.0
7,1727834987.4735315,-227290.04687128193,258395.57343798658,79046.70738613456,96959.60773769829,-133113.22902091945,0.0
8,1727834987.4740226,-227808.73707409183,259320.89330705724,79252.96102575917,96798.47835217658,-133792.06329038172,0.0
9,1727834987.6862478,0.0,0.0,0.0,0.0,0.0,0.0
10,1727834987.6866696,-227912.47511465382,256082.2737653099,80232.66581397611,96677.6313130353,-132557.81916408666,0.0
11,1727834987.8983796,0.0,0.0,0.0,0.0,0.0,0.0
12,1727834987.898598,-227808.73707409183,257354.58858528206,79974.84876444533,97684.68997254607,-133483.50225880797,0.0
13,1727834988.106535,-228327.42727690167,256544.93369984525,79613.90489510226,97120.73712322002,-133360.07784617844,0.0
14,1727834988.1068416,-228223.6892363397,260014.8832088603,78995.1439762284,97161.01946960045,-133668.6388777522,0.0
15,1727834988.316992,-228016.21315521575,260361.87815976175,78892.01715641608,97402.71354788305,-132681.2435767162,0.0
16,1727834988.3174176,-228119.95119577774,259320.89330705724,79098.27079604071,97684.68997254607,-132064.12151356868,0.0
17,1727834988.5295556,-228327.42727690167,256660.59868347904,79665.4683050084,97483.2782406439,-133545.21446512273,0.0
18,1727834988.5298212,0.0,0.0,0.0,0.0,0.0,0.0
19,1727834988.7410347,-228638.6413985876,255850.94379804222,79665.4683050084,97765.25466530693,-134409.18535352923,0.0
20,1727834988.7413795,-229364.80768252138,254925.62392897153,79252.96102575917,97483.2782406439,-133915.4877030112,0.0
21,1727834988.953512,-228223.6892363397,259436.5582906911,79356.08784557147,97926.38405082864,-132804.6679893457,0.0
22,1727834988.9537067,-227186.30883072,258511.23842162042,79304.52443566531,97765.25466530693,-133545.21446512273,0.0
23,1727834989.1623955,-229364.80768252138,256660.59868347904,79820.15853472688,97281.86650874173,-134224.048734585,0.0
24,1727834989.162665,-229572.28376364536,257007.59363438058,80284.22922388227,97886.10170444821,-133668.6388777522,0.0
25,1727834989.371075,-229364.80768252138,256891.92865074673,79717.03171491456,97241.58416236131,-134224.048734585,0.0
26,1727834989.371367,-228846.11747971154,257123.2586180144,79356.08784557147,97080.45477683959,-133730.35108406696,0.0
27,1727834989.6020725,-227601.26099296787,258742.5683888881,79098.27079604071,96838.760698557,-133051.5168146047,0.0
28,1727834989.6022437,0.0,0.0,0.0,0.0,0.0,0.0
29,1727834989.8094404,0.0,0.0,0.0,0.0,0.0,0.0
30,1727834989.8096817,0.0,0.0,0.0,0.0,0.0,0.0
31,1727834990.0190213,-228949.85552027353,258048.57848708506,78582.63669697917,97322.1488551222,-132681.2435767162,0.0
32,1727834990.019222,-228638.6413985876,257701.58353618358,78634.20010688531,97604.12527978518,-133977.19990932598,0.0
33,1727834990.229323,-229676.02180420732,256082.2737653099,79613.90489510226,97201.3018159809,-134038.91211564076,0.0
34,1727834990.2294953,0.0,0.0,0.0,0.0,0.0,0.0
35,1727834990.4383075,-229676.02180420732,255735.2788144084,78582.63669697917,96516.50192751354,-134594.32197247352,0.0
36,1727834990.4385319,0.0,0.0,0.0,0.0,0.0,0.0
37,1727834990.663358,0.0,0.0,0.0,0.0,0.0,0.0
38,1727834990.6636055,-230298.45004757916,257932.91350345121,79768.59512482071,96798.47835217658,-132434.3947514572,0.0
39,1727834990.871974,-230402.18808814115,257123.2586180144,80026.4121743515,97120.73712322002,-132928.09240197518,0.0
40,1727834990.8723788,0.0,0.0,0.0,0.0,0.0,0.0
41,1727834991.0968559,0.0,0.0,0.0,0.0,0.0,0.0
42,1727834991.0970643,-228431.16531746366,260940.20307793096,79201.39761585303,97080.45477683959,-133730.35108406696,0.0
43,1727834991.3293035,-227912.47511465382,258164.2434707189,78685.76351679147,96516.50192751354,-134594.32197247352,0.0
44,1727834991.329497,-226978.83274959604,257817.2485198174,79923.28535453917,96959.60773769829,-133051.5168146047,0.0
45,1727834991.5400298,-227601.26099296787,258973.89835615575,80077.97558425766,96999.89008407874,-132372.68254514242,0.0
46,1727834991.5404253,-229364.80768252138,259783.5532415926,80232.66581397611,96717.91365941572,-133483.50225880797,0.0
47,1727834991.7524726,-229779.7598447693,259667.88825795875,80593.60968331917,96838.760698557,-132681.2435767162,0.0
48,1727834991.7534637,-230817.140250389,257238.92360164825,80181.10240406994,96999.89008407874,-132557.81916408666,0.0
49,1727834991.9686613,-228016.21315521575,255850.94379804222,80799.8633229438,96879.04304493743,-132372.68254514242,0.0
50,1727834991.9689984,-229053.59356083546,257817.2485198174,80748.29991303764,97120.73712322002,-132187.5459261982,0.0
51,1727834992.1807106,-228223.6892363397,258395.57343798658,79871.72194463303,96959.60773769829,-132681.2435767162,0.0
52,1727834992.1811233,-226978.83274959604,260130.54819249408,80232.66581397611,96637.34896665484,-132742.95578303095,0.0
53,1727834992.396752,-228223.6892363397,257932.91350345121,80181.10240406994,96717.91365941572,-132310.97033882767,0.0
54,1727834992.3970401,-227808.73707409183,258858.2333725219,80335.79263378841,97161.01946960045,-132557.81916408666,0.0
55,1727834992.6084542,-228949.85552027353,260593.20812702944,80851.42673284996,96516.50192751354,-133421.79005249322,0.0
56,1727834992.6088674,-229364.80768252138,259783.5532415926,80542.04627341303,97926.38405082864,-133853.77549669647,0.0
57,1727834992.8212445,-228431.16531746366,258626.90340525427,80851.42673284996,96838.760698557,-133977.19990932598,0.0
58,1727834992.8217971,-228119.95119577774,258973.89835615575,80232.66581397611,96395.65488837226,-133483.50225880797,0.0
59,1727834993.0385966,0.0,0.0,0.0,0.0,0.0,0.0
60,1727834993.038921,-227082.570790158,257470.25356891588,80335.79263378841,96798.47835217658,-132681.2435767162,0.0
61,1727834993.2498372,-227808.73707409183,259667.88825795875,81315.49742200534,96717.91365941572,-133483.50225880797,0.0
62,1727834993.250128,-229157.33160139745,259436.5582906911,81985.82175078534,97442.99589426348,-133051.5168146047,0.0
63,1727834993.470216,-228223.6892363397,259089.56333978957,81160.80719228688,97241.58416236131,-133421.79005249322,0.0
64,1727834993.4707315,-227497.5229524059,258626.90340525427,80696.73650313148,96879.04304493743,-133792.06329038172,0.0
65,1727834993.6889694,-228534.90335802562,259320.89330705724,80232.66581397611,97483.2782406439,-132681.2435767162,0.0
66,1727834993.6894085,-228431.16531746366,260130.54819249408,80438.91945360073,97322.1488551222,-132619.53137040144,0.0
67,1727834993.8998327,-229261.06964195945,260361.87815976175,81315.49742200534,96999.89008407874,-132496.10695777193,0.0
68,1727834993.9001832,0.0,0.0,0.0,0.0,0.0,0.0
69,1727834994.1130435,-231024.61633151298,260477.5431433956,80181.10240406994,97442.99589426348,-132681.2435767162,0.0
70,1727834994.1133082,-228431.16531746366,259552.22327432493,80232.66581397611,96999.89008407874,-133298.3656398637,0.0
71,1727834994.3245616,-227601.26099296787,258164.2434707189,80645.17309322534,96919.32539131786,-133606.92667143745,0.0
72,1727834994.3249125,-229053.59356083546,257470.25356891588,80954.55355266226,97080.45477683959,-134224.048734585,0.0
73,1727834994.5347457,-229053.59356083546,260130.54819249408,81109.24378238073,97402.71354788305,-134162.3365282702,0.0
74,1727834994.5350187,-228431.16531746366,259089.56333978957,80748.29991303764,97120.73712322002,-133360.07784617844,0.0
75,1727834994.7432382,-230402.18808814115,259552.22327432493,80902.99014275611,96959.60773769829,-132928.09240197518,0.0
76,1727834994.7434504,-229261.06964195945,261634.19297973393,81109.24378238073,97442.99589426348,-132804.6679893457,0.0
77,1727834994.9576354,-229261.06964195945,261287.19802883247,81263.9340120992,97281.86650874173,-134470.897559844,0.0
